listing_title,listing_category,short_description,description,website,phone,fax,email,listing_tags,address,zip_code,username,sequence_id
Dr Luc Mahler,Clinics & Services;Chiropractors,Chiropractors,"Address: 101 Fourth Ave #1, Ottawa, ON K1S 2L1
Phone: 613-778-6990
Website: https://themvmtcompany.com",https://themvmtcompany.com,613-778-6990,,,Chiropractors;Ottawa,"101 Fourth Ave #1, Ottawa, ON K1S 2L1",K1S 2L1,Sana,opc-service-allied-9df23520fb857c
Oaktree Chiropractic (Downtown),Clinics & Services;Chiropractors,Chiropractors,"Address: 231 Lisgar St, Ottawa, ON K2P 0C5
Phone: 613-680-4325
Website: https://oaktreehealth.ca/downtown-ottawa
Contacts: Dr. Emilie Perras Paediatric & Family Chiropractor; Dr. Vanessa Jalbert-Caputo Chiropractor",https://oaktreehealth.ca/downtown-ottawa,613-680-4325,,,Chiropractors;Dr. Emilie Perras Paediatric & Family Chiropractor; Dr. Vanessa Jalbert-Caputo Chiropractor Chiropractors;Ottawa,"231 Lisgar St, Ottawa, ON K2P 0C5",K2P 0C5,Sana,opc-service-allied-22efc1546136a0
Oaktree Chiropractic (Orleans),Clinics & Services;Chiropractors,Chiropractors,"Address: 2054 St Joseph Blvd, Orleans, ON K1C 1E6
Phone: 613-424-4315
Website: https://oaktreehealth.ca/orleans
Contacts: Dr. Veronica Brynaert",https://oaktreehealth.ca/orleans,613-424-4315,,,Chiropractors;Dr. Veronica Brynaert Chiropractors;Orleans,"2054 St Joseph Blvd, Orleans, ON K1C 1E6",K1C 1E6,Sana,opc-service-allied-81689d68e034c6
Oaktree Chiropractic (Stittsville-Kanata),Clinics & Services;Chiropractors,Chiropractors,"Address: 1053 Carp Rd, Stittsville, ON K2S 1B9
Phone: 613-672-4325
Website: https://oaktreehealth.ca/stittsville
Contacts: Dr. Marie-Pier Sauriol",https://oaktreehealth.ca/stittsville,613-672-4325,,,Chiropractors;Dr. Marie-Pier Sauriol Chiropractors;Stittsville,"1053 Carp Rd, Stittsville, ON K2S 1B9",K2S 1B9,Sana,opc-service-allied-808b6d67c0a320
Ottawa Chiropractic & Natural Health Centre (Downtown),Clinics & Services;Chiropractors,Chiropractors,"Address: 111 Albert St r115, Ottawa, ON K1P 1A5
Phone: 613-688-1036
Website: https://excellenceinhealth.com
Contacts: Dr. John R. Zielonka",https://excellenceinhealth.com,613-688-1036,,,Chiropractors;Dr. John R. Zielonka Chiropractors;Ottawa,"111 Albert St r115, Ottawa, ON K1P 1A5",K1P 1A5,Sana,opc-service-allied-67929221ad51d6
Ascension Chiropractic Health Centre (Downtown),Clinics & Services;Chiropractors,Chiropractors,"Address: 251 Laurier Ave W Ste 550, Ottawa, ON K1P 6K6
Phone: 613-656-8080
Website: https://ascensionchiro.ca
Contacts: Dr. Derek Haughton",https://ascensionchiro.ca,613-656-8080,,,Chiropractors;Dr. Derek Haughton Chiropractors;Ottawa,"251 Laurier Ave W Ste 550, Ottawa, ON K1P 6K6",K1P 6K6,Sana,opc-service-allied-94209f71f04183
Ottawa Chiropractic Health Clinic and Physiotherapy,Clinics & Services;Chiropractors;Physiotherapists,Chiropractors · Physiotherapists,"Address: 407 Laurier Ave W, Ottawa, ON K1R 7Y1
Phone: 613-233-8700
Website: https://ochconline.com
Contacts: Dr Andréanne Côté; Dr Alexander Lee; Dr Jared Ferguson; Pierre-Luc Couturier; Abhijit Minhas",https://ochconline.com,613-233-8700,,,Chiropractors;Physiotherapists;Dr Andréanne Côté; Dr Alexander Lee; Dr Jared Ferguson; Pierre-Luc Couturier; Abhijit Minhas Chiropractors Physiotherapists;Ottawa,"407 Laurier Ave W, Ottawa, ON K1R 7Y1",K1R 7Y1,Sana,opc-service-allied-03afe4976a7c15
Back to Health Wellness Centre,Clinics & Services;Chiropractors,Chiropractors,"Address: 240 Catherine St #100, Ottawa, ON K2P 2G8
Phone: 613-408-2702
Website: https://back2health4you.com",https://back2health4you.com,613-408-2702,,,Chiropractors;Ottawa,"240 Catherine St #100, Ottawa, ON K2P 2G8",K2P 2G8,Sana,opc-service-allied-f426a1696da200
Kent Chiro-Med Physiotherapy & Chiropractic Clinic,Clinics & Services;Chiropractors,Chiropractors,"Address: 563 Gladstone Ave, Ottawa, ON K1R 5P2
Phone: 613-508-0113
Website: https://kentchiromed.com",https://kentchiromed.com,613-508-0113,,,Chiropractors;Ottawa,"563 Gladstone Ave, Ottawa, ON K1R 5P2",K1R 5P2,Sana,opc-service-allied-6db88b5af688cc
Baseline Chiropractic Clinic,Clinics & Services;Chiropractors,Chiropractors,"Address: 1889 Baseline Rd #2, Ottawa, ON K2C 0N2
Phone: 613-224-8582
Website: https://baselinechiro.ca
Contacts: Dr. Aaron Lynn; Dr. Moore",https://baselinechiro.ca,613-224-8582,,,Chiropractors;Dr. Aaron Lynn; Dr. Moore Chiropractors;Ottawa,"1889 Baseline Rd #2, Ottawa, ON K2C 0N2",K2C 0N2,Sana,opc-service-allied-7e3fa67784b7df
Britannia Chiropractic Clinic,Clinics & Services;Chiropractors,Chiropractors,"Address: 1315 Richmond Rd #11, Ottawa, ON K2B 7Y4
Phone: 613-726-8830
Website: https://britanniachiro.com
Contacts: Dr. Kirkham",https://britanniachiro.com,613-726-8830,,,Chiropractors;Dr. Kirkham Chiropractors;Ottawa,"1315 Richmond Rd #11, Ottawa, ON K2B 7Y4",K2B 7Y4,Sana,opc-service-allied-fb370cfaf976af
Ottawa Chiropractic Studio,Clinics & Services;Chiropractors,Chiropractors,"Address: 53 Marier Ave Unit 1, Vanier, ON K1L 5S2
Phone: 613-519-9927
Website: https://ottawachiropracticstudio.ca
Contacts: Dr. Melanie Stewart; Dr. Brittany Ellis",https://ottawachiropracticstudio.ca,613-519-9927,,,Chiropractors;Dr. Melanie Stewart; Dr. Brittany Ellis Chiropractors;Vanier,"53 Marier Ave Unit 1, Vanier, ON K1L 5S2",K1L 5S2,Sana,opc-service-allied-7f6ec0653e9d13
Arc of Life Chiropractic Natural Health Group,Clinics & Services;Chiropractors,Chiropractors,"Address: 1318 Wellington St W, Ottawa, ON K1Y 3B7
Phone: 613-722-1003
Website: https://arcoflife.ca
Contacts: Dr. Pauline; Dr. Brent",https://arcoflife.ca,613-722-1003,,,Chiropractors;Dr. Pauline; Dr. Brent Chiropractors;Ottawa,"1318 Wellington St W, Ottawa, ON K1Y 3B7",K1Y 3B7,Sana,opc-service-allied-ba714d15c40d8c
Marketplace Chiropractic,Clinics & Services;Chiropractors,Chiropractors,"Address: 80 Marketplace Ave J2, Orléans, ON K2J 4H9
Phone: 613-823-1255
Contacts: Dr. Mike; Dr. Nancy",,613-823-1255,,,Chiropractors;Dr. Mike; Dr. Nancy Chiropractors;Orléans,"80 Marketplace Ave J2, Orléans, ON K2J 4H9",K2J 4H9,Sana,opc-service-allied-bd72bd3fcf91ef
Barrhaven Family Chiropractic,Clinics & Services;Chiropractors,Chiropractors,"Address: 605 Longfields Dr #1315, Ottawa, ON K2J 6T7
Phone: 613-823-7900
Website: https://barrhavenwellnesscentre.com
Contacts: Dr. Majida; Dr. Khalid Mankal",https://barrhavenwellnesscentre.com,613-823-7900,,,Chiropractors;Dr. Majida; Dr. Khalid Mankal Chiropractors;Ottawa,"605 Longfields Dr #1315, Ottawa, ON K2J 6T7",K2J 6T7,Sana,opc-service-allied-3d6654ae91c3d1
"Dr. Ryley Hayter, Barrhaven Chiropractor",Clinics & Services;Chiropractors,Chiropractors,"Address: 19 Dewberry Crescent, Nepean, ON K2J 4N3
Phone: 343-297-4585
Website: https://ryleyhayterdc.com",https://ryleyhayterdc.com,343-297-4585,,,Chiropractors;Nepean,"19 Dewberry Crescent, Nepean, ON K2J 4N3",K2J 4N3,Sana,opc-service-allied-73056136df0831
Greenbank Chiropractic Centre,Clinics & Services;Chiropractors,Chiropractors,"Address: 804 Greenbank Rd, Nepean, ON K2J 1A2
Phone: 613-825-2524
Website: https://spinedr.ca
Contacts: Dr. Jackie Rogers",https://spinedr.ca,613-825-2524,,,Chiropractors;Dr. Jackie Rogers Chiropractors;Nepean,"804 Greenbank Rd, Nepean, ON K2J 1A2",K2J 1A2,Sana,opc-service-allied-187836e45eb54d
South Nepean Family Chiropractic,Clinics & Services;Chiropractors,Chiropractors,"Address: 1 Tartan Dr, Nepean, ON K2J 2W7
Phone: 613-823-9131
Website: https://barrhavenchiro.ca
Contacts: Dr. Joanne Lafreniere",https://barrhavenchiro.ca,613-823-9131,,,Chiropractors;Dr. Joanne Lafreniere Chiropractors;Nepean,"1 Tartan Dr, Nepean, ON K2J 2W7",K2J 2W7,Sana,opc-service-allied-b2230556976f23
Active Health Institute,Clinics & Services;Chiropractors,Chiropractors,"Address: 613 Longfields Dr #103, Ottawa, ON K2J 6J2
Phone: 613-825-7773
Website: https://activehealthinstitute.com
Contacts: Dr. Hemstock",https://activehealthinstitute.com,613-825-7773,,,Chiropractors;Dr. Hemstock Chiropractors;Ottawa,"613 Longfields Dr #103, Ottawa, ON K2J 6J2",K2J 6J2,Sana,opc-service-allied-53091c1b5f7f98
My Infinity Chiro,Clinics & Services;Chiropractors,Chiropractors,"Address: 804 Greenbank Rd, Nepean, ON K2J 1A2
Phone: 613-797-4260
Website: https://myinfinitychiro.com
Contacts: Dr. Andrew Bell; Dr. Robinson",https://myinfinitychiro.com,613-797-4260,,,Chiropractors;Dr. Andrew Bell; Dr. Robinson Chiropractors;Nepean,"804 Greenbank Rd, Nepean, ON K2J 1A2",K2J 1A2,Sana,opc-service-allied-3cad832e6ebffb
Hazeldean Family Chiropractic Clinic,Clinics & Services;Chiropractors,Chiropractors,"Address: 484 Hazeldean Rd #8, Kanata, ON K2L 1V4
Phone: 613-831-9665
Website: https://hazeldeanchiropractic.com
Contacts: Dr. Erin McLaughlin",https://hazeldeanchiropractic.com,613-831-9665,,,Chiropractors;Dr. Erin McLaughlin Chiropractors;Kanata,"484 Hazeldean Rd #8, Kanata, ON K2L 1V4",K2L 1V4,Sana,opc-service-allied-823ef9e9fc9a60
New Forma Chiropractic & Wellness,Clinics & Services;Chiropractors,Chiropractors,"Address: 3009 St Joseph Blvd, Orléans, ON K1E 1E1
Phone: 613-824-0892
Website: https://drericcaron.wixsite.com/chiropractic
Contacts: Dr. Caron; Dr. Eric; Dr. Greenough",https://drericcaron.wixsite.com/chiropractic,613-824-0892,,,Chiropractors;Dr. Caron; Dr. Eric; Dr. Greenough Chiropractors;Orléans,"3009 St Joseph Blvd, Orléans, ON K1E 1E1",K1E 1E1,Sana,opc-service-allied-1cadf3ce03fc62
The Chiropractic Clinic,Clinics & Services;Chiropractors,Chiropractors,"Address: 3600 Brian Coburn Blvd Unit 103, Orléans, ON K4A 1C4
Phone: 613-834-0707
Website: https://thechiropracticclinic.ca
Contacts: Dr. Stephanie de Haas; Dr. Melodie de Haas",https://thechiropracticclinic.ca,613-834-0707,,,Chiropractors;Dr. Stephanie de Haas; Dr. Melodie de Haas Chiropractors;Orléans,"3600 Brian Coburn Blvd Unit 103, Orléans, ON K4A 1C4",K4A 1C4,Sana,opc-service-allied-63c107704e5f43
Hunter Chiropractic Wellness Centre,Clinics & Services;Chiropractors,Chiropractors,"Address: 200 Vanguard Dr #2, Orléans, ON K4A 1A1
Phone: 613-841-9355
Website: https://hunterchiropractic.com
Contacts: Dr. Mark Hunter",https://hunterchiropractic.com,613-841-9355,,,Chiropractors;Dr. Mark Hunter Chiropractors;Orléans,"200 Vanguard Dr #2, Orléans, ON K4A 1A1",K4A 1A1,Sana,opc-service-allied-7c5fbf5b47c6be
