listing_title,listing_category,short_description,description,website,phone,fax,email,listing_tags,address,zip_code,username,sequence_id
Dr. Mitra Abaeian,Specialists;Allergy & Immunology,"Allergy & Immunology · 210 Centrum Blvd, Orléans, K1E 3V7","Specialty: Allergy & Immunology
Location: 210 Centrum Blvd, Orléans, K1E 3V7
Phone: (613) 830-1771
Fax: (613) 837-3781
Languages: En",,(613) 830-1771,(613) 837-3781,,Allergy & Immunology;En,"210 Centrum Blvd, Orléans, K1E 3V7",K1E,Sana,opc-specialist-8b90134c4b2f737e
Dr. Andrew John Ervine Seely,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Thoracic Surgery · The Ottawa Hospital - General Campus — Division of Thoracic Surgery,501 Smyth Road Box 708, Ottawa, K1H 8L6","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Thoracic Surgery
Location: The Ottawa Hospital - General Campus — Division of Thoracic Surgery,501 Smyth Road Box 708, Ottawa, K1H 8L6
Phone: (613) 737-8845
Fax: (613) 737-8668
Languages: En, Fr",,(613) 737-8845,(613) 737-8668,,"Cardiac & Thoracic Surgery;Thoracic Surgery;En, Fr;General Surgery","The Ottawa Hospital - General Campus — Division of Thoracic Surgery,501 Smyth Road Box 708, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-e6be6ad2a8257619
Dr. Buu-Khanh Lam,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · Ottawa Heart Institute — 40 Ruskin Street Room H3404a, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: Ottawa Heart Institute — 40 Ruskin Street Room H3404a, Ottawa, K1Y 4W7
Phone: (613) 696-7293
Fax: (613) 696-7118
Languages: En, Fr, Vietnamese",,(613) 696-7293,(613) 696-7118,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Fr, Vietnamese","Ottawa Heart Institute — 40 Ruskin Street Room H3404a, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-9d9b6df49562a38a
Dr. Daniel Gwynne Jones,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Thoracic Surgery · The Ottawa Hospital - General Campus — 501 Smyth Rd, Department of Thoracic Surgery, Ottawa, K1H 8L6","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Thoracic Surgery
Location: The Ottawa Hospital - General Campus — 501 Smyth Rd, Department of Thoracic Surgery, Ottawa, K1H 8L6
Phone: (613) 798-5555
Languages: Fr, En",,(613) 798-5555,,,"Cardiac & Thoracic Surgery;Thoracic Surgery;Fr, En;General Surgery","The Ottawa Hospital - General Campus — 501 Smyth Rd, Department of Thoracic Surgery, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-fdde3da0b072ab9c
Dr. Donna Elizabeth Maziak,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Thoracic Surgery · The Ottawa Hospital - General Campus — 6 N W 6364, Ottawa, K1H 8L6","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Thoracic Surgery
Location: The Ottawa Hospital - General Campus — 6 N W 6364, Ottawa, K1H 8L6
Phone: (613) 737-8899
Fax: (613) 737-8668
Languages: Fr, En",,(613) 737-8899,(613) 737-8668,,"Cardiac & Thoracic Surgery;Thoracic Surgery;Fr, En;General Surgery","The Ottawa Hospital - General Campus — 6 N W 6364, Ottawa, K1H 8L6",K1H,Sana,opc-specialist-f60018ef79a4d5d5
Dr. Fraser Douglas Rubens,Specialists;Cardiac & Thoracic Surgery;General Surgery,"Cardiac & Thoracic Surgery · Cardiovascular/Thoracic · Ottawa Heart Institute, Room H3401A, 40 Ruskin Avenue, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiovascular/Thoracic
Location: Ottawa Heart Institute, Room H3401A, 40 Ruskin Avenue, Ottawa, K1Y 4W7
Phone: (613) 696-7290
Fax: (613) 696-7303
Languages: Fr, En",,(613) 696-7290,(613) 696-7303,,"Cardiac & Thoracic Surgery;Cardiovascular/Thoracic;Fr, En;General Surgery","Ottawa Heart Institute, Room H3401A, 40 Ruskin Avenue, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-5a50a9c495b4b21b
Dr. Hadi Daood Edward Toeg,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · University of Ottawa Heart Inst, H1258, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: University of Ottawa Heart Inst, H1258, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7000
Languages: En, Fr",,(613) 696-7000,,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Fr","University of Ottawa Heart Inst, H1258, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-b2d569a2c46ba30e
Dr. Marc Andre Ruel,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · Suite 3406, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: Suite 3406, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7288
Fax: (613) 696-7141
Languages: En, Fr",,(613) 696-7288,(613) 696-7141,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Fr","Suite 3406, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-beec3abc4f9f6af4
Dr. Ming Hao Guo,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · University of Ottawa Heart, Institute, Division of Cardiac Surgery, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: University of Ottawa Heart, Institute, Division of Cardiac Surgery, Ottawa, K1Y 4W7
Phone: (613) 761-5000
Languages: En",,(613) 761-5000,,,Cardiac & Thoracic Surgery;Cardiac Surgery;En,"University of Ottawa Heart, Institute, Division of Cardiac Surgery, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-bd45e15dffda0b26
Dr. Munir Boodhwani,Specialists;Cardiac & Thoracic Surgery,"Cardiac & Thoracic Surgery · Cardiac Surgery · Univ of Ottawa Heart Institute, Division of Cardiac Surgery H3405, 40 Ruskin Street, Ottawa, K1Y 4W7","Specialty: Cardiac & Thoracic Surgery
Subspecialty / notes: Cardiac Surgery
Location: Univ of Ottawa Heart Institute, Division of Cardiac Surgery H3405, 40 Ruskin Street, Ottawa, K1Y 4W7
Phone: (613) 696-7295
Fax: (613) 696-7302
Languages: En, Hindi, Fr, Urdu",,(613) 696-7295,(613) 696-7302,,"Cardiac & Thoracic Surgery;Cardiac Surgery;En, Hindi, Fr, Urdu","Univ of Ottawa Heart Institute, Division of Cardiac Surgery H3405, 40 Ruskin Street, Ottawa, K1Y 4W7",K1Y,Sana,opc-specialist-3203ee37ee0725d7
